AUDIT_RUN /Users/xuhai.zhang/Documents/doc/AI Workforce/research/Agent_Harness_Book_Research_20260822/research/audits/review_20260919/execution/runs/20260919T095940Z_b_il6ikt
PASS [audit_integrity] inventory_closed_fences_and_independent_marker_counts

GROUP environment
CMD  git_version: exit=0
CMD  bash_version: exit=0
CMD  source_head: exit=0
CMD  source_status: exit=0
CMD  original_venv_packages: exit=0
CMD  original_venv_pip: exit=1

GROUP structured
PASS [raw_parse] parse_B006
PASS [raw_parse] parse_B007
PASS [raw_parse] parse_B008
PASS [raw_parse] parse_B024
PASS [raw_parse] parse_B047
PASS [raw_parse] parse_B081
PASS [raw_parse] parse_B082
PASS [raw_parse] parse_B084
PASS [raw_parse] parse_B088
PASS [raw_parse] parse_B089
PASS [raw_parse] parse_B093
PASS [raw_parse] parse_B095
PASS [raw_parse] parse_B096
PASS [raw_parse] parse_B097
PASS [raw_parse] parse_B100
PASS [raw_parse] parse_B101
PASS [raw_parse] parse_B102
PASS [raw_parse] parse_B105
PASS [raw_parse] parse_B106
PASS [raw_parse] parse_B109
PASS [raw_parse] parse_B110
PASS [raw_parse] parse_B112
PASS [raw_parse] parse_B118
PASS [raw_parse] parse_B119
PASS [raw_parse] parse_B120

GROUP schemas
PASS [schema_only] metaschema_B006
PASS [schema_only] metaschema_B007
PASS [schema_only] Task_valid
PASS [schema_only] Task_missing_task_id
PASS [schema_only] Task_missing_tenant
PASS [schema_only] Task_missing_contract_version
PASS [schema_only] Task_missing_risk
PASS [schema_only] Task_missing_deliverables
PASS [schema_only] Task_missing_checks
PASS [schema_only] Task_missing_commit_authority
PASS [schema_only] Task_invalid_risk_8
PASS [schema_only] Task_invalid_task_id_9
PASS [schema_only] Task_invalid_checks_10
PASS [schema_only] Task_invalid_deliverables_11
PASS [schema_only] Task_invalid_tenant_12
PASS [schema_only] Task_invalid_extra_13
PASS [schema_only] Task_invalid_budget_14
PASS [schema_only] Task_invalid_budget_15
PASS [schema_only] Task_invalid_budget_16
PASS [schema_only] Task_invalid_budget_17
FAIL [schema_only] Task_empty_check_string_rejected
FAIL [schema_only] Task_unknown_budget_field_rejected
PASS [schema_only] Action_valid
PASS [schema_only] Action_missing_action_id
PASS [schema_only] Action_missing_attempt_id
PASS [schema_only] Action_missing_actor
PASS [schema_only] Action_missing_type
PASS [schema_only] Action_missing_resource
PASS [schema_only] Action_missing_side_effect_class
PASS [schema_only] PolicyDecision_valid
PASS [schema_only] PolicyDecision_missing_action_id
PASS [schema_only] PolicyDecision_missing_decision
PASS [schema_only] PolicyDecision_missing_policy_version
PASS [schema_only] Observation_valid
PASS [schema_only] Observation_missing_action_id
PASS [schema_only] Observation_missing_status
PASS [schema_only] Action_invalid_side_effect
PASS [schema_only] Policy_invalid_decision
PASS [schema_only] Observation_invalid_status
FAIL [schema_only] Definitions_root_rejects_invalid_0
FAIL [schema_only] Definitions_root_rejects_invalid_1
FAIL [schema_only] Definitions_root_rejects_invalid_2
FAIL [schema_only] Definitions_root_rejects_invalid_3
FAIL [schema_only] Irreversible_requires_idempotency_key
FAIL [schema_only] Action_empty_id_rejected
FAIL [schema_only] Constrained_allow_requires_constraints

GROUP original_bash
CMD  raw_local_clone: exit=0
CMD  raw_required_revision: exit=128
CMD  bash_raw_original_environment: exit=127
FAIL [original] bash_original_directly_runnable
CMD  bash_raw_with_real_pytest_only: exit=4
FAIL [original_with_audit_dependency] bash_with_pytest_source_tests_exist
CMD  bash_original_line_1: exit=128
CMD  bash_original_line_2: exit=0
CMD  bash_original_line_3: exit=4
FAIL [original] bash_pipeline_propagates_git_failure
CMD  bash_pipeline_with_pipefail: exit=128
PASS [corrected_execution] bash_pipefail_exposes_bad_revision

GROUP sql
FAIL [original] SQL_raw_SQLite
PASS [dialect_adapter] SQL_adapted_hand_calculation
PASS [dialect_adapter] SQL_k19_suppressed_k20_retained
FAIL [dialect_adapter] SQL_suppressed_groups_reconcile_to_finance_without_bridge
FAIL [dialect_adapter] SQL_DUPLICATE_money_not_doubled
FAIL [dialect_adapter] SQL_NULL_refund_preserves_100_revenue
FAIL [dialect_adapter] SQL_NULL_account_excludes_money
PASS [dialect_adapter] SQL_snapshot_half_open_version_boundary
PASS [corrected_simulation] SQL_gateway_rejects_snapshot_drift
PASS [corrected_simulation] SQL_gateway_accepts_pinned_snapshot
PASS [corrected_simulation] SQL_corrective_hand_calculation
PASS [dialect_adapter] SQL_date_bucket_boundaries
